aX,aY,aZ,gX,gY,gZ
0.143,-1.118,0.040,-1.890,35.770,-90.650
0.158,-1.067,0.052,-0.070,35.490,-88.410
0.164,-1.052,0.077,-1.330,35.490,-86.100
0.175,-1.060,0.093,-0.560,34.930,-85.470
0.189,-1.087,0.190,-1.610,28.350,-86.310
0.196,-1.094,0.250,-4.620,23.100,-87.570
0.212,-1.117,0.240,-5.040,13.650,-88.620
0.220,-1.168,0.190,-6.720,6.650,-93.590
0.223,-1.195,0.090,-13.510,5.040,-97.580
0.212,-1.223,0.020,-19.250,7.630,-106.540
0.215,-1.219,-0.100,-22.120,10.080,-114.730
0.230,-1.217,-0.188,-26.250,19.950,-119.000

1.851,2.442,0.840,-103.390,25.480,313.390
1.980,2.613,0.787,-130.200,43.470,337.120
1.686,2.545,1.173,-167.580,17.220,366.380
1.516,2.545,1.310,-219.730,-3.150,378.490
1.285,2.588,1.140,-217.350,-26.600,412.300
1.190,2.480,0.818,-190.050,-42.490,450.240
1.027,2.307,0.665,-126.420,-48.020,463.260
0.864,1.859,0.604,-81.410,-48.090,477.120
0.771,1.407,0.495,-63.630,-42.000,487.200
0.579,1.197,0.582,-19.810,-19.740,493.780
0.371,0.688,0.800,1.120,-10.430,504.770
0.262,0.052,1.345,22.120,-15.540,511.280
0.003,-0.293,1.629,33.880,-32.060,510.930
-0.267,-1.020,1.758,41.370,-56.630,495.880
-0.347,-1.799,2.044,54.460,-72.870,469.910
-0.480,-2.176,2.204,64.120,-108.780,455.910
-0.488,-2.986,2.688,32.130,-163.170,418.040
-0.534,-3.700,3.147,-20.230,-198.100,367.850
-0.731,-3.974,3.339,-94.290,-285.110,336.700
-1.319,-4.024,3.388,-107.450,-353.430,273.490
-1.419,-3.708,3.503,-220.640,-392.630,387.660
-1.844,-2.787,3.746,-199.850,-655.550,391.370
-2.579,-4.413,0.878,-121.380,-606.830,213.640
-3.414,-4.502,-0.598,-42.700,-526.680,92.960
-4.065,-3.356,-0.618,-41.650,-451.710,76.650
-4.089,-2.335,-1.528,33.110,-376.880,44.940
-3.893,-2.020,-1.605,250.460,-375.130,41.650
-3.700,-1.608,-1.606,314.230,-405.790,52.010
-3.688,-2.670,-2.637,334.320,-389.200,-53.620
-3.421,-3.423,-3.487,337.890,-339.990,-122.710
-2.907,-3.653,-3.601,210.280,-179.620,-204.610
-2.436,-2.743,-3.350,154.000,-124.530,-193.060
-1.691,-2.327,-2.978,74.270,-25.900,-170.590
-1.582,-2.078,-2.596,8.750,49.980,-156.170
-1.556,-1.843,-1.382,-33.180,41.510,-164.080
-1.276,-1.534,-0.945,-91.630,-5.250,-157.080
-1.084,-0.861,-0.945,-90.440,-48.370,-122.640
-1.132,-0.468,-1.403,-56.280,-34.370,-91.350
